The video is over!
Time of video Queue Density, Dynamic Density
64.8107, 0.685667, 0
64.8773, 0.685424, 0
64.944, 0.685255, 0
65.0106, 0.687967, 0
65.0772, 0.689221, 0
65.1438, 0.686165, 0
65.2104, 0.68723, 0
65.277, 0.680787, 0
65.3436, 0.680513, 0
65.4102, 0.682924, 0
65.4768, 0.684703, 0
65.5434, 0.68561, 0
65.61, 0.687091, 0
65.6767, 0.686713, 0
65.7433, 0.684796, 0
65.8099, 0.682674, 0
65.8765, 0.684568, 0
65.9431, 0.687701, 0
66.0097, 0.688507, 0
66.0763, 0.686813, 0
66.1429, 0.691393, 0
